sample_id,latitude,longitude,osm_query_date,query_radius_m,query_source,query_parameters,candidate_count,selected_osm_type,selected_osm_id,selected_osm_tags,water_feature_class,match_method,match_distance_m,manual_review,failure_diagnostics
S0340,50.05363,19.24622,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 50.05363, ""lon"": 19.24622, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C50.05363%2C19.24622%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C50.05363%2C19.24622%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C50.05363%2C19.24622%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0389,49.09369,-125.60095,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 49.09369, ""lon"": -125.60095, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C49.09369%2C-125.60095%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C49.09369%2C-125.60095%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C49.09369%2C-125.60095%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0391,48.9985,-57.692,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 48.9985, ""lon"": -57.692, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C48.9985%2C-57.692%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C48.9985%2C-57.692%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C48.9985%2C-57.692%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0417,48.2344,9.725,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 48.2344, ""lon"": 9.725, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C48.2344%2C9.725%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C48.2344%2C9.725%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C48.2344%2C9.725%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0478,46.19677,6.19172,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 46.19677, ""lon"": 6.19172, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C46.19677%2C6.19172%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C46.19677%2C6.19172%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C46.19677%2C6.19172%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0493,45.37881,-61.97801,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 45.37881, ""lon"": -61.97801, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C45.37881%2C-61.97801%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C45.37881%2C-61.97801%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C45.37881%2C-61.97801%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0498,44.8009,37.4438,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 44.8009, ""lon"": 37.4438, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C44.8009%2C37.4438%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C44.8009%2C37.4438%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C44.8009%2C37.4438%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0502,44.52074,-124.07035,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 44.52074, ""lon"": -124.07035, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C44.52074%2C-124.07035%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C44.52074%2C-124.07035%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C44.52074%2C-124.07035%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0509,43.90934,5.08576,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 43.90934, ""lon"": 5.08576, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C43.90934%2C5.08576%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C43.90934%2C5.08576%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C43.90934%2C5.08576%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
S0514,43.64592,143.87321,2026-09-07T22:10:38.393393+00:00,1000.0,failed,"{""lat"": 43.64592, ""lon"": 143.87321, ""radius_m"": 1000.0}",0,,,,,unavailable,,False,"""HTTPError: 406 Client Error: Not Acceptable for url: https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%3B%28way%28around%3A1000.0%2C43.64592%2C143.87321%29%5Bnatural%3Dwater%5D%3Bway%28around%3A1000.0%2C43.64592%2C143.87321%29%5Bwaterway%5D%3Bway%28around%3A1000.0%2C43.64592%2C143.87321%29%5Blanduse%3Dreservoir%5D%3B%29%3Bout+geom+tags%3B"""
